原始资源名,像素尺寸,优先级,状态,制作内容与注意事项,OCR参考_可能误识别
edk_pt.gcc,480x756,P1,需要制作,返回标题状态；no.编号可保留,タイトルに戻る | no.1 | nO | no.1 | n0. | n0.5 | 10 | n0.5 | n0.5 | n0.10 | nO | no.10 | no.10 | no.15 | nO. | 5 | no.15 | no.15 | タイトルに戻る | n0.2 | n0.3 | nO | nO | n0.2 | n0.3 | n0.2 | n0.3 | n0.6 | no.7 | ni | nO. | n0.6 | no.7 | n0.6 | no.7 | no.11 | n0.12 | mO | no.1 | no.1 | no.16 | nO. | 6 | no.16 | no.16 | n0.12 | no.12 | no.17 | nO. | no.17 | no.17 | タイトルに戻る | n0.4 | n0. | n0.4 | n0.8 | nO. | 8 | no.8 | n0.8 | n0.13 | nO | no.13 | no.13 | n0.18a | no. | 8a | n0.18a | n0.18a | n0.9 | ni | n0.9 | n0.9 | no.14 | no.1 | no.14 | no.18b | no. | 18b | no.18b | no.18b
end_staff00.gcc,752x1152,P2,片尾文字需制作,角色身份/姓名或CAST；需要同步静止、模糊与旋涡所有动画帧；OCR仅辅助，人工校对,やいとS | やイと5 | Rlに5 | Ca55 | CAST | CAST
end_staff01.gcc,752x1152,P2,片尾文字需制作,角色身份/姓名或CAST；需要同步静止、模糊与旋涡所有动画帧；OCR仅辅助，人工校对,鶏A男 | 使なえ | 使用人 | 斎藤六鄧 | 使用人 | 斎藤六郎
end_staff02.gcc,752x1152,P2,片尾文字需制作,角色身份/姓名或CAST；需要同步静止、模糊与旋涡所有动画帧；OCR仅辅助，人工校对,ie | ie | メイド | 古手川美症子 | メイド | 古手川 美佐子 | こ古一手会でこ想だ子・
end_staff03.gcc,752x1152,P2,片尾文字需制作,角色身份/姓名或CAST；需要同步静止、模糊与旋涡所有动画帧；OCR仅辅助，人工校对,知命き入 | 家庭数椰 | 鏖香織 | 家庭教師 | 安藤 香織
end_staff04.gcc,752x1152,P2,片尾文字需制作,角色身份/姓名或CAST；需要同步静止、模糊与旋涡所有动画帧；OCR仅辅助，人工校对,PRert | YDRやYA | KAARY* | 頂県県募 | 河原崎家氺女 | 何原崎窟 | 河原崎家次女 | 河原崎麗
end_staff05.gcc,752x1152,P2,片尾文字需制作,角色身份/姓名或CAST；需要同步静止、模糊与旋涡所有动画帧；OCR仅辅助，人工校对,jr | ie | メイド | 冒俎亜築栖 | メイド | 倉田 亜栗栖
end_staff06.gcc,752x1152,P2,片尾文字需制作,角色身份/姓名或CAST；需要同步静止、模糊与旋涡所有动画帧；OCR仅辅助，人工校对,PRer | KDRやど+ | 3AA $5F | XaRやとA | ¥規舟文丈入 | 河銀崎玲下 | 河原崎家夫人 | 河原崎京子 | 河原崎家夫人 | 河原崎亰子
end_staff07.gcc,752x1152,P2,片尾文字需制作,角色身份/姓名或CAST；需要同步静止、模糊与旋涡所有动画帧；OCR仅辅助，人工校对,5K9 45K | YaRやん | SKgか5で | XAAや | ぶ長gからで | 汚風鱈さちに | 河厦綺家長女 | 河原崎さちこ | 河原崎家長女 | 河原崎 | さちこ | 和原にまこおじと | ③
end_staff08.gcc,752x1152,P2,片尾文字需制作,角色身份/姓名或CAST；需要同步静止、模糊与旋涡所有动画帧；OCR仅辅助，人工校对,BA MF | すかこのやけ | 別込みトな | よちこの包以生 | 別途みいな | さちこの同級生 | 朝倉みけな | さちこの同級生 | 朝倉 みいな | 鬱伊ジ腐
end_staff09.gcc,752x1152,P2,片尾文字需制作,角色身份/姓名或CAST；需要同步静止、模糊与旋涡所有动画帧；OCR仅辅助，人工校对,※伝き | 逆広毛 | 南原正咧 | 運転手 | 南原 正明
end_staff10.gcc,752x1152,P2,片尾文字需制作,角色身份/姓名或CAST；需要同步静止、模糊与旋涡所有动画帧；OCR仅辅助，人工校对,YDRやN | 河原碕家長男 | 河原崎俊介 | 河原崎家長男 | 可亰崎 | 俊介
end_staff11.gcc,752x1152,P2,片尾文字需制作,角色身份/姓名或CAST；需要同步静止、模糊与旋涡所有动画帧；OCR仅辅助，人工校对,パアイヤのトト | 食家を教②食人 | 武家屋敷の住人 | 謎の老人 | 武家屋敷の住人 | 謎の老人 | 濃ペツイ
end_staff12.gcc,480x432,保留,品牌版权标识,开发商品牌/版权署名默认保留原样,elf | eu | e elf
endk.gcc,272x180,P1,需要制作,退出游戏确认框与按钮三态,クームを終介します。よろしいですか？ | 決 | 定 | キャンセル | 定 | 定 | 決 | 決 | キャンセル | キャンセル | キャンセル
menu.gcc,840x372,P1,需要制作,游戏菜单、显示/隐藏文本框、设置、退出，以及小Logo,セーブ | ロード | メッセージ枠の消去 | セーブ | 口 | 環境設定 | ド | 1 | セーブ | 口 | セー | ブ | 口 | ド | セー | 口 | ド | メッセージ枠の消去 | 環 | 境設定 | メッセージ枠の消去 | 環境設定 | メッセージ枠の消去 | 環境設定 | メッセージ枠の消去 | 環境設 | 定 | 河原崎家の一族 | 履 | 歴 | 淡 | タイトルへ戻る | X | 履 | 歴 | 履歴 | 履 | 歴 | 腹 | 歴 | タイトルへ戻る | タイトルへ戻る | タイトルへ戻る | タイトルへ戻る | キャンセル | キャンセル | キャンセル | キャンセル | キャンセル | ゲームの終了 | ゲームの終了 | ゲームの終了 | ゲームの終了 | ゲームの終了 | メッセージ枠の表示 | メッセージ枠の表示 | メッセージ枠の表示 | メッセージ枠の表示
r_menu.gcc,440x540,P3,旧版界面候选,金属木纹旧版菜单/槽位；先确认目标PC版本实际调用后再做,セーブする | ロードする | メッセージ履歴表示 | メッセージウインドウ消去 | 環境設定 | タイトル画面に戻る | ゲームを終了する | 閉じる | 閉じる | 閉じる | 閉じる
sc_bg.gcc,640x480,P1,需要制作,剧情回想底图的前后页和返回标题,前 | 頁 | /8 | 次頁 | タイトルに戻る
sc_pt01.gcc,1120x1152,P1,需要制作,页头前后页/返回标题四态（仅修改按钮文字，保留胶片与缩略图）,前頁 | 田田監 | ※タイトルに戻る | タイトルに戻る | 12345678
sc_pt02.gcc,1120x1152,P1,需要制作,页头前后页/返回标题四态（仅修改按钮文字，保留胶片与缩略图）,田田期 | ※タイトルに戻る | タイトルに戻る | 12345678
sc_pt03.gcc,1120x1152,P1,需要制作,页头前后页/返回标题四态（仅修改按钮文字，保留胶片与缩略图）,田田監 | タイトルに戻る | 12345678 | フマママ | ててでマ
sc_pt04.gcc,1120x1152,P1,需要制作,页头前后页/返回标题四态（仅修改按钮文字，保留胶片与缩略图）,前頁 | 田期 | ※タイトルに戻る | タイトルに戻る | 12345678
sc_pt05.gcc,1120x1152,P1,需要制作,页头前后页/返回标题四态（仅修改按钮文字，保留胶片与缩略图）,田田期 | ※タイトルに戻る | タイトルに戻る | 12345678
sc_pt06.gcc,1120x1152,P1,需要制作,页头前后页/返回标题四态（仅修改按钮文字，保留胶片与缩略图）,前頁 | ※タイトルに戻る | タイトルに戻る | 12345678 | すする | する
sc_pt07.gcc,1120x1152,P1,需要制作,页头前后页/返回标题四态（仅修改按钮文字，保留胶片与缩略图）,田田監 | ※タイトルに戻る | タイトルに戻る | 12345678
sc_pt08.gcc,1120x1152,P1,需要制作,页头前后页/返回标题四态（仅修改按钮文字，保留胶片与缩略图）,前頁 | 田期 | ※タイトルに戻る | タイトルに戻る | 12345678
setting.gcc,592x1096,P1,需要制作,两页设置标题、音量/语音/文字/画面标签、按钮四态,サウンド設定 | 効果音 | 音冬声 | 切 | 男の声べ入！ | 切 | 女の声々 | 文字表示設定 | 既読文章のスキップ& | 自動進行〜1入、①切 | 前貞、 | 次頁 | デフォルトに戻す | 入学 | 決定 | キャンセル」 | 画面劾果設定 | ウィンドウの色 | 緑 | 前頁 | 前頁 | 前頁 | 前頁 | 前貞 | 透通◆ | サンプル | 画面の効果 | 入 | ①切 | 次貞 | デフォルトに戻す | 次貝 | 次貞 | 次頁 | 次頁 | デフォルトに戻す | デフォルトに戻す | デフォルトに戻す | デフォルトに戻す | 決 | 決 | 定 | 定 | 決定 | キャンセル、 | キャンセル | キャンセルイ | ※ | x | キャンセル、 | キャンセル、 | 適 | 適 | 入 | 適 | 切 | 用 | 用
sl_load.gcc,624x464,P1,需要制作,读档标题、四页页签、关闭,四員 | 恐じる
sl_parts.gcc,628x264,P3,旧版界面候选,金属木纹旧版菜单/槽位；先确认目标PC版本实际调用后再做,0123456789 | C1 | 2 | 345 | 789 | 年月日午前後時 | 項 | データをセーブします、よろしいですか？ | メモ編菜 | 文字全消去 | 決定 | キャンセル | メモ編菜 | 文字全消去 | 決定 | キャンセル | メモ編集 | 文字全消法 | 決定 | キャンセル | 文字全消去 | 決定 | キャンセル | データをセーブします、よろしいですか？データをロードします、よろしいですか？
sl_pt.gcc,656x464,P1,需要制作,页签四态、空槽文字、确认提示、备注编辑和确认/取消按钮,訓 | 頁 | No./：0123456789 | 未 | データをtー | ープします。よろしいですか？ | メモ編集 | 決 | 定 | キャンセル | タを | プします、よろしいですか。 | テータをロードします | よろしいですか？ | 決定 | キャンセル | KムKススK | KKKKKK | キャンセル | キャンセル | キャンセル | 文字全消去 | メモ編集 | メモ編集 | メモ編集 | 決定 | VR | 文字全消去、 | 文字全消去 | 文字全消去 | キャンセル | スキャンセル | キャンセル | キャンセル
sl_save.gcc,624x464,P1,需要制作,存档标题、四页页签、关闭,貞 | 三員 | 四員 | 閣じる
soundk_bg.gcc,640x480,P1,需要制作,14首曲名、停止、返回标题，以及背景Logo,運命の一族 | 舞台を降りた少女 | 覚醒 | 系ど、 | エンドレス・ワルツ | 午後のテラス | 終_焉 | 悪夢 | 停 | 侯爵令嬢 | 破滅への階段 | 偽りの貴婦人 | 殺戮の月夜 | 木陰 | 永遠の閣 | 引き裂かれた時 | タイトルに戻る
soundk_pt.gcc,512x1176,P1,需要制作,14首曲名四态、停止/返回标题四态及重复背景Logo,運命の一族 | 運命の一族 | 運命の一族 | 運命の一族 | 舞台を降りた少女 | 舞台を降りた少女 | 舞台を降りた少女 | 舞台を降りた少女 | 覚 | 覚 | 覚 | 覚 | 醒 | エンドレス・ワルツ | エンドレス・ワルツ | エンドレス・ワルツ | エンドレス・ワルツ | 午後のテラス | 午後のテラス | 午後のテラス | 午後のテラス | 終焉 | 終_焉 | 終_焉 | 終_焉 | 悪夢 | 悪夢 | 悪夢 | 悪夢 | 停 | 止 | タイトルに戻る | 停 | タイトルに戻る | 侯爵令嬢 | 侯爵令嬢 | 侯爵令嬢 | 侯爵令嬢 | 破滅への階段 | 破滅への階段 | 破滅への階段 | 破滅への階段 | 偽りの貴婦人 | 偽りの貴婦人 | 偽りの貴婦人 | 偽りの貴婦人 | 殺戮の月夜 | 殺戮の月夜 | 殺戮の月夜 | 殺戮の月夜 | 木陰 | 木陰 | 木陰 | 木陰 | 永遠の閣 | 永遠の閣 | 永遠の閣 | 永遠の閣 | 引き裂かれた時 | 引き裂かれた時 | 引き裂かれた時 | 引き裂かれた時 | 停 | 止 | 停 | タイトルに戻る | いり | ひり | ひり | 止 | タイトルに戻る
spg00.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg01.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg01_1.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg01_2.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg02.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg03.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg04.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg10.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg11.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg12.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg13.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg14.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg15.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg16.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg17.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg18.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
spg19.gcc,640x480,暂不做,无文字候选,火焰演出系列：OCR未发现文字，抽查为背景；不作为文字汉化重点,
title_bg.gcc,640x480,暂不做,无需文字替换,窗框/箭头/底图，当前检查无需译文,
title_pt.gcc,584x888,P1,需要制作,标题按钮与两帧Logo：6项×3状态；灰/红Logo同步,最初からはじめる | 最初からはじめる | 最初からはじめる | 途中からはじめる | 途中からはじめる | 途中からはじめる | CGを鑑賞する | CGを鑑賞する | CGを鑑賞する | シーンを鑑賞する | シーンを鑑賞する | シーンを鑑賞する | 音楽を鑑賞する | 音楽を鑑賞する | 音楽を鑑賞する | エンディングを確認する | エンディングを確認する | エンディングを確認する | 河原始家の一族 | 河原崎家の一族
